date,body,rating,id,title
17-Dec-08,"We went to Perth in early Dec 2008. At all our holiday destinations, we try to visit their Science Centres; so Perth was no exception.",4,22801448,Educational!
24-Jan-10,"Great place for the whole family, you will definitely find out things you never knew before. The planetarium show is realistic and entertaining. There is something for all ages, from puppet shows to baby chicks to science displays for the older kids.",5,54197740,"Great place for the whole family, you..."
14-Jun-11,"We have been visiting Scitech ever since we moved to Western Australia. Our son was then 17 and he enjoyed it. He's now 29 and still likes to go, but now we also take his young cousins, aged 10 and 12. We first took the twelve year old when he was four and the magic has stayed. Especially recommend the Imax cinema and the space movie. I could sit through it time and again.",4,113304909,Fun for every generation!
20-Dec-11,An educational experience for the whole family. Have fun while learning.,4,121907650,Education centre
30-Dec-11,"Will never fail all ages as the exhibits change… Food is an issue, either downstairs in the centre cafe or within the venue itself its limited. Best to do a morning and go elsewhere for lunch like sticky beakys at Kings Park.",4,122274072,Variation Rules...
31-Dec-11,"It is all that complicated science explained so simply through hands on experience. Displays are always changing so you can go again & again. Given every city seems to have a """"SciTech"", I'd recommend visitors to Perth to visit the unique sights of Perth rather than this attraction.",4,122320922,Learn by Experience
1-Jan-12,I often take my son here as it's such fun for kids (and grown up's),5,122344367,Great fun
2-Jan-12,"Future Scientist beware, you are missing out if your parents don't take you for a day out at SciTech. Lose your kids there, as they immerse themselves in exploring gravity, technology and a whole heap of other occupying scientific experiments and ideas aimed to create interest and satisfy curiosity. ",5,122406059,Every Kid should visit - Mums and Dads will enjoy too!
6-Jan-12,The CSI evening event was fantastic. All the exhibitions are interesting and interactive.,5,122633910,Fun!
6-Jan-12,I like learning new stuff about science and I love science,4,122634419,Scitech is awesome
7-Jan-12,My grandchildren and I had a lovely day at Sci-Tech.,4,122688621,Good for kids
12-Jan-12,"this is brilliant for kids, very interesting for Adults also. But definitely worth kids going too and central to Perth.",5,122957351,GREAT INTERESTING
15-Jan-12,"What a great place for youngsters and oldies. A great place to walk around and discover amazing facts. If they had a place like this when I was growing up, I would have had a much greater interest in science than I did. Highly recomend it for taking children as many of the displays are interactive, hands on, and the kids love them.",5,123096344,Education Plus
17-Jan-12,Interesting enough on the first visit - but not out of this world.,3,123186105,Average
17-Jan-12,A wonderful place to take children with so many educational exhibits there and lots of hands on stuff,4,123187401,Sci Tec
18-Jan-12,"An amazing place for kids and adults to explore and learn, but only take people who want to learn, wasted on adults who go for the wrong reason. Set aside at least 4 hours.",5,123248813,great fun
20-Jan-12,This place is great for school holidays....my kids loved it and so did I...they have fun & learn at the same time...I like that!,5,123338725,Scitech
24-Jan-12,A great place for kids of all ages to experience all kinds of weird and wonderful scientific gadgets.,5,123548730,Great for kids of all ages
4-Feb-12,cant believe how much fun you can still have here as an adult. They do a fantastic job with the changing exhibits and the standard stuff (is that Handel's watermusic I hear?),4,124104166,hell yeah!
6-Feb-12,lots of different experiences for the children and parents a great place to go on the school holidays ,4,124176369,Plenty for the children to do
6-Feb-12,"Liked the non structured feel, nice to be able to let the kids take their time on different activities. Great to take up lots of time in the air-conditioning too!!",5,124184028,sci tech
12-Feb-12,"Scitech is a great day out for kids and adults alike, Interactive to keep the kids and parents entertained for hours. ",5,124452356,Great for kids
15-Feb-12,This is a great place to take kids of all ages so much to see and do in side,5,124615272,an outing worth going to for all the family
26-Feb-12,There are many science interactive exhibits that both adults and children will like. A great learning tool for children at schools.,4,125210030,Great fun for children and adults alike!
