Scitech,"It was fun, the staff was friendly. Unfortunately, the puppet show was always full, we waited in line for 10 then suddenly it was full. Need more food in caf̬.. good for kids, he was having so much fun with all the science stuff"
good for kids,"This place is a lot of fun, only for kids. On one of Perth's rare rainy day, it's definitely worth checking out, passing time."
Scitech,"Located at Sutherland street, west Perth, the Scitech is a specialty museum with plenty of demos but the hands on activities/exercises take time . Open 930 to4 pm ,There is a lot to do for all age groups but especially for kids like puppet and..."
Scitech with a 5 year old,Perhaps we will wait a few years until we bring our son back as I think Scitech is suited to 8 years and upwards but saying that our 5 year old had a great time but didn't understand the science behind it. I don't think...
Not bad - Good exhibits which arouse my son's interest!,"The place is on a smaller scale compared to Kulau Lumpur Petronsians or Singapore Science Centre, but it is still very educational and my son gets to play a lot of hands on exhibits! the bee hive is a very new thing to me!"
Great but avoid school holidays ,"My partner and I had a great time - very interactive, however if you wish to be more hands on avoid school holidays"
Distraction for young children only,"Not really a museum, just simplified and disappointingly dumbed-down ""science entertainment"" for young kids. About as much fun for an adult as a Wiggles concert. Bring earplugs."
Needs to be updated,"I have been to scitech multiple times like i am sure many other perth and surrounds inhabitants have been, and every time it gets a lot duller. even the first time no one in my friend group actually enjoyed the experience and the high price..."
Getting old and Dated,"It was the place to go many years ago, but its getting old and dated now. They just can't keep up without the funding and that is a shame. I think more needs to be invested into this icon of WA. It was the first..."
"Pretty good, lacks the wow of similar set ups worldwide ","It is good but not great, compare to Science World in Vancouver or somewhere like Epcot in Florida and you would be dissapointed. A lot of the thjngs are run down, missing bits or broken - lots of kids and not really enough to do..."
Better for younger children,Came here with children aged 14 & 9. While they enjoyed some of the activities they soon got bored. The planetarium however was brilliant for all ages. The theatre was aimed at the very young.
Strictly for kids,"A pretty good place for a rainy day in Perth (not many of those!). Many things for kids to try and interact with, but in my opinion the Scitech main area leans too much towards play than learning or demonstrating any serious scientific principles. The..."
Good School Holiday Day Out,We took my 2 year old daughter to the toddlerfest 2016 which seem to have a great time running around and playing with everything. The place just seemed a little dated and numerous attraction were out of order. Not a bad day out.
Very noisy,"Well, we have visited on few occasions and my view has not changed. It is good fun for the kids, no doubt about that, but as it's enclosed there is heaps of noise so you get sick of it pretty soon."
Crowded but fun,Great place to go but not so good if busy. Lots of interactive fun. Cafe area. Easy for kids to get distracted and lost.
Interesting but needs ipdate,"Went to Scitech with 6yo daughter and enjoyed it probably more than she did. Been a while since we had gone there but a lot of the exhibitions were the same.
Planetarium was interesting for older people - but probably too much talking and not..."
One for the kids,"A good place to keep kids amused for an afternoon. Very interactive and informative, lots for kids to do. Love the robot!"
Planetarium - our highlight,"We took our 12 year old daughter and her friend to SciTech as part of a 'treat weekend'. The highlight has to be the Planetarium - the presenter is great.
Unfortunately, we hit SciTech at what seemed to be the day out for all day..."
