date,body,rating,id,title
20 December 2011,An educational experience for the whole family. Have fun while learning.,4.0,121907650,Education centre
14 June 2011,"We have been visiting Scitech ever since we moved to Western Australia. Our son was then 17 and he enjoyed it. He's now 29 and still likes to go, but now we also take his young cousins, aged 10 and 12. We first took the twelve year old when he was four and the magic has stayed. Especially recommend the Imax cinema and the space movie. I could sit through it time and again.",4.0,113304909,Fun for every generation!
24 January 2010,"Great place for the whole family, you will definately find out things you never knew before. The planetarium show is realistic and entertaining. There is something for all ages, from puppet shows to baby chicks to science displays for the older kids.",5.0,54197740,"Great place for the whole family, you..."
17 December 2008,"We went to Perth in early Dec 2008. At all our holiday destinations, we try to visit their Science Centres; so Perth was no exception.",4.0,22801448,Educational!
17 April 2018,,5.0,573841377,
14 June 2011,"We have been visiting Scitech ever since we moved to Western Australia. Our son was then 17 and he enjoyed it. He's now 29 and still likes to go, but now we also take his young cousins, aged 10 and 12. We first took the twelve year old when he was four and the magic has stayed. Especially recommend the Imax cinema and the space movie. I could sit through it time and again.",4.0,113304909,Fun for every generation!
24 January 2010,"Great place for the whole family, you will definately find out things you never knew before. The planetarium show is realistic and entertaining. There is something for all ages, from puppet shows to baby chicks to science displays for the older kids.",5.0,54197740,"Great place for the whole family, you..."
17 December 2008,"We went to Perth in early Dec 2008. At all our holiday destinations, we try to visit their Science Centres; so Perth was no exception.",4.0,22801448,Educational!
17 April 2018,,5.0,573841377,
22 February 2018,,3.0,562098127,
24 January 2010,"Great place for the whole family, you will definately find out things you never knew before. The planetarium show is realistic and entertaining. There is something for all ages, from puppet shows to baby chicks to science displays for the older kids.",5.0,54197740,"Great place for the whole family, you..."
6 January 2012,The CSI evening event was fantastic. All the exhibitions are itneresting and interactive.,5.0,122633910,Fun!
17 December 2008,"We went to Perth in early Dec 2008. At all our holiday destinations, we try to visit their Science Centres; so Perth was no exception.",4.0,22801448,Educational!
17 April 2018,,5.0,573841377,
22 February 2018,,3.0,562098127,
25 January 2017,,5.0,454634528,
2 January 2012,"Future Scientist beware, you are missing out if your parents don't take you for a day out at SciTech. Lose your kids there, as they immerse themselves in exploring gravity, technology and a whole heap of other occupying scientific experiments and ideas aimed to create interest and satisfy curiosity. ",5.0,122406059,Every Kid should visit - Mums and Dads will enjoy too!
1 January 2012,I often take my son here as it's such fun for kids (and grown up's),5.0,122344367,Great fun
31 December 2011,"It is all that complicated science explained so simply through hands on experience. Displays are always changing so you can go again & again. Given every city seems to have a """"SciTech"", I'd recommend visitors to Perth to visit the unique sights of Perth rather than this attraction.",4.0,122320922,Learn by Experience
30 December 2011,"Will never fail all ages as the exibits change....Food is an issue, either downstairs in the centre cafe or within the venue itself its limited. Best to do a morning and go elsewhere for lunch like stickey beakys at Kings Park.",4.0,122274072,Variation Rules...
30 December 2011,"Will never fail all ages as the exibits change....Food is an issue, either downstairs in the centre cafe or within the venue itself its limited. Best to do a morning and go elsewhere for lunch like stickey beakys at Kings Park.",4.0,122274072,Variation Rules...
1 January 2012,I often take my son here as it's such fun for kids (and grown up's),5.0,122344367,Great fun
2 January 2012,"Future Scientist beware, you are missing out if your parents don't take you for a day out at SciTech. Lose your kids there, as they immerse themselves in exploring gravity, technology and a whole heap of other occupying scientific experiments and ideas aimed to create interest and satisfy curiosity. ",5.0,122406059,Every Kid should visit - Mums and Dads will enjoy too!
20 December 2011,An educational experience for the whole family. Have fun while learning.,4.0,121907650,Education centre
14 June 2011,"We have been visiting Scitech ever since we moved to Western Australia. Our son was then 17 and he enjoyed it. He's now 29 and still likes to go, but now we also take his young cousins, aged 10 and 12. We first took the twelve year old when he was four and the magic has stayed. Especially recommend the Imax cinema and the space movie. I could sit through it time and again.",4.0,113304909,Fun for every generation!
24 January 2010,"Great place for the whole family, you will definately find out things you never knew before. The planetarium show is realistic and entertaining. There is something for all ages, from puppet shows to baby chicks to science displays for the older kids.",5.0,54197740,"Great place for the whole family, you..."
17 December 2008,"We went to Perth in early Dec 2008. At all our holiday destinations, we try to visit their Science Centres; so Perth was no exception.",4.0,22801448,Educational!
31 December 2011,"It is all that complicated science explained so simply through hands on experience. Displays are always changing so you can go again & again. Given every city seems to have a """"SciTech"", I'd recommend visitors to Perth to visit the unique sights of Perth rather than this attraction.",4.0,122320922,Learn by Experience
30 December 2011,"Will never fail all ages as the exibits change....Food is an issue, either downstairs in the centre cafe or within the venue itself its limited. Best to do a morning and go elsewhere for lunch like stickey beakys at Kings Park.",4.0,122274072,Variation Rules...
20 December 2011,An educational experience for the whole family. Have fun while learning.,4.0,121907650,Education centre
