date,body,rating,id,title
24 August 2017,"Brought our 2 year old niece here to burn off some steam and she absolutely loved it! Couldn't get enough of all the exhibits, and the temporary petting zoo was a hit as well.
She loved trying out all the different play / experience areas...",5.0,516972177,Excellent for Little Explorers!
21 August 2017,Wow! It was amazing! Went for the scheduled show of maths and explosion and it was mesmerizing! Very helpful and knowledgable staff. Fun atmosphere! Bring your whole families for great outing. This will increase your brain size!,5.0,515781574,Superb!
13 August 2017,This museum is great for the young and the young at heart. There are many hands on activities. A special exhibit helps you to understand forensics.,4.0,512151266,Interesting science musuem
9 August 2017,"Scitech has a little something for everyone of all ages but I'd definitely recommend to anyone with kids looking for something safe fun and affordable (They will definitely learn a few things with out knowing it as well)
The Planetarium was my personal favourite part...",5.0,510361353,Heaps of fun for the kid's
25 July 2017,"Could not help but realize that education never ends.
Took a 4 year old who had a really amazing time and our 14 year old who marveled at the principles of science that were being applied in in the exhibits and displays and my wife...",4.0,505287965,Education Tour in Perth
20 July 2017,"Great time playing like a kid at Scitech on their adults only night. Lots of fun, Do yourself a favor and check out the planetarium!",4.0,503723004,Visit the planatarium (adult nights are better!)
24 February 2018,"Fantastic hands-on children’s science centre and planetarium. There are science based activities for all ages that are really well done, and interesting for parents too! The staff are knowledgeable about the physics behind the “experiments” and are happy to give detailed kid-level explanations — even...",5.0,562443483,Just brilliant!
18 June 2017,"We visited on a weekend noon, and the place was busy with many children and their parents/minders. The entire floor is filled with interesting and very interactive exhibits for children to try out, and there are also additional shows like the Puppet Theater (our two...",5.0,493874292,Fun place for the kids with many interactive exhibits
5 July 2017,"Finally I got to go to Scitech! My wife and I took her grandchildren, and I think I had more fun than they did. I wish they had these places when I was young. I reacon this place will probably be a major factor in...",5.0,498826711,Wow!!!
4 July 2017,"It was fun, the staff was friendly. Unfortunately, the puppet show was always full, we waited in line for 10 then suddenly it was full. Need more food in cafè.. good for kids, he was having so much fun with all the science stuff",3.0,498395454,Scitech
28 June 2017,"Sci tech was fun and absorbing for all of us. When we visited, there was a Whodunit exhibition sponsored by BHP - which presented a murder and got the kids to solve it. It was very well curated for all the scientific processes that the...",5.0,496891248,Enjoyed our last day in Perth ALL day at Sci Tech! 
22 June 2017,One of the best places in perth to take children. Full of hands on activities and also provides a theatre with science shows as well as a planetarium. There is a small cafe on site.,5.0,494980146,Scitech in perth
15 February 2018,"WOW - went here for date night part of Fringe Festival ! fantastic all round, service show everything so well done. I found that regular shows are done to entertain adults
of an evening, so jump on there site and get educated and entertained by...",5.0,560520805,Not Just 4 Kids
29 January 2018,Since our last visit 2 years ago the Scitech has invested extremely well in a number of new attractions. Our Granddaughters thoroughly enjoyed the light tubes and the moon buggy ride. They also still do the free car parking in the underground carpark.,5.0,557051928,Amazing improvements
21 January 2018,Make sure not to miss the planetarium show especially if you have your children with you. Quite interesting activities to do in the exhibition hall.,4.0,555155914,Children activity
4 January 2018,"Having spent the day here with our grandchildren, who learnt, saw and touched so much science.
This is a well thought out science fest that is made interesting for learning at all ages.
The planetarium show is simply amazing and filled with interesting facts about...",5.0,551324549,What a great set up
3 January 2018,"Science, Physics, Games and Planetarium all these you will LOVE. If you have children they will ask you to go there every weekend. One thing I do not like there-there is no a decent cafe nearby, espesially on a weekend. Do no go there if...",5.0,551156329,Scitech? It's crazily amazing!
15 June 2017,"Good day out for a family with young children
would probably not go out of my way to come if you have older children/ teenagers",4.0,493220361,Good for families with young kids
1 June 2017,Have been taking my daughter to Scitech since she was two for the annual ToddlerFest. Have also been for a 'grown up' trip with work. There is plenty of interesting stuff there for all ages. The special events are very good and hours pass by...,5.0,489577735,Great for everyone
31 May 2017,"Scitech is mainly for youngsters, so I took a friend who is a TAFE student with me to help me evaluate it. He said it was very interesting, espefcially the 3D pen and the 3D printer. Scitech will entertain children from a young age. Young...",5.0,489283612,Catching new scientists young
26 May 2017,Had a work family day here and everyone was amazed by the quantity and quality of exhibits and interactive hands on items. I had to drag my 4 and 7 year olds away after nearly 6 hours here. Make sure you get here early and...,5.0,487821223,Great for kids and big kids alike - so much to do
25 May 2017,"I would take my popular there now she takes her kids there,it is always interesting there
dont go there during school holidays. it is to busy,because it is very daughter.",5.0,487514477,very inytetresting
22 February 2017,Our kids love good science museums and Sci-tech was pretty good. Good enough that we spend most of the day there and they still didn't want to leave. There are shows and activities and a reasonable number of interactive areas. The museum cafe was closed...,5.0,461921987,Our attraction highlight in Perth
3 October 2017,Great place to spend a rainy afternoon and watch time fly by. Lots to do for all ages from toddlers to adults lots of fun learning to do. Would recommend seeing the different shows on offer,5.0,529275088,Awesome family day out
